you,ты
celebrate,праздновать
map,карта
horn,рог
eventually,в конце концов
pity,жалость
powers,полномочия
ashamed,стыдящийся
assume,предполагать
glasses,очки
rise,рост
fixed,зафиксированный
request,запрос
officers,офицеры
pounds,фунтов стерлингов
data,данные
carefully,осторожно
per,за
depends,зависит от
jury,жюри
waited,ждал
positive,позитивный
attorney,адвокат
direction,направление
families,семьи
doin,делаешь
forces,силы
location,расположение
walls,стены
useless,бесполезный
grant,предоставить
saving,экономия
speaks,говорит
fought,дрался
meal,еда
deliver,доставлять
answers,ответы
changing,изменение
temple,храм
scary,страшный
millions,миллионы
offered,предложенный
regular,обычный
carrying,несущий
official,чиновник
jacket,куртка
switch,выключатель
grave,могила
chase,гнаться
role,роль
odd,странный
sexy,сексуальный
faces,лица
becomes,становится
closes,закрывается
badly,плохо
tall,высокий
confused,смущенный
affair,роман
television,телевидение
shock,шок
raised,поднятый
panting,тяжело дыша
pizza,пицца
image,изображение
clears,очищает
golden,золотой
patients,пациенты
watched,смотрели
committed,преданный идее
sexual,сексуальный
suffer,страдать
arthur,Артур
wherever,где бы
plate,тарелка
appear,появляться
chocolate,шоколад
clever,умный
hm,хм
mercy,милосердие
shots,выстрелы
lucy,Люси
dealing,сделка
trap,ловушка
charges,сборы
phil,Фил
bang,хлопнуть
poison,яд
butt,задница
drove,ехал
yourselves,себя
headed,во главе
babies,младенцы
yellow,желтый
soup,суп
mystery,тайна
picking,сбор
sat,Суббота
wound,ранить
traffic,трафик
courage,храбрость
hunt,охотиться
indian,индийский
rat,крыса
terms,условия
italian,итальянский
emma,Эмма
checking,проверка
disease,болезнь
managed,удалось
winner,победитель
council,совет
appointment,встреча
monday,понедельник
crack,трескаться
threat,угроза
jenny,Дженни
physical,физический
nation,нация
source,источник
chose,выбрал
healthy,здоровый
carl,Карл
victory,победа
rick,Рик
stood,стоял
kicked,пнул
annie,Энни
disgusting,отвратительный
palace,дворец
below,ниже
shopping,Покупка
neighborhood,район
march,маршировать
lips,губы
midnight,полночь
piss,ссать
advantage,преимущество
pure,чистый
india,Индия
aside,в стороне
jerk,придурок
mail,почта
dawn,рассвет
effect,эффект
spell,заклинание
freak,ненормальный
wood,древесина
screwed,облажался
enemies,враги
gary,Гэри
awake,бодрствующий
chuckling,посмеиваясь
vacation,отпуск
violence,насилие
leo,Лео
grandmother,бабушка
modern,современный
luke,Люк
firm,твердый
prime,основной
heh,хех
touched,коснулся
talent,талант
whore,шлюха
piano,фортепиано
license,лицензия
cooking,Готовка
honour,честь
concern,беспокойство
moves,движется
available,доступный
factory,фабрика
gods,боги
value,ценить
central,центральный
union,союз
mirror,зеркало
studio,студия
media,СМИ
taxi,такси
dies,умирает
iron,железо
hearts,сердца
desire,желание
rob,грабить
claire,Клэр
fred,Фред
songs,песни
washington,Вашингтон
monkey,обезьяна
pride,гордость
pills,таблетки
miracle,чудо
swim,плавать
burned,сожженный
smells,пахнет
joking,шучу
christian,христианин
bleeding,кровотечение
hook,крюк
beating,избиение
protection,защита
treatment,уход
ear,ухо
carter,возчик
metal,металл
disappear,пропадать
grateful,благодарный
extremely,очень сильно
treasure,сокровище
rescue,спасать
capable,способный
passing,прохождение
chatter,болтовня
result,результат
suffering,страдания
sisters,сестры
laid,проложенный
governor,губернатор
guards,охранники
louis,Луи
text,текст
literally,буквально
remove,удалять
becoming,становление
performance,производительность
stronger,сильнее
rate,ставка
deeply,глубоко
scream,крик
desert,пустыня
vehicle,транспортное средство
illegal,незаконный
pulling,тянет
throwing,бросание
josh,Джош
unbelievable,невероятный
ted,Тед
zero,нуль
dean,декан
curious,любопытный
sean,Шон
candy,конфеты
bone,кость
tied,связанный
edge,край
load,нагрузка
susan,Сьюзен
ahh,ах
mountains,горы
boom,бум
former,бывший
holiday,праздничный день
riding,езда
scoffs,насмехается
hundreds,сотни
motherfucker,ублюдок
sue,Сью
bags,сумки
stealing,воровство
appears,появляется
arrive,приезжать
remains,останки
decent,приличный
issues,проблемы
tip,кончик
fail,неудача
bride,невеста
pissed,разозлился
penny,пенни
claim,требовать
friendship,дружба
desperate,отчаянный
flower,цветок
dramatic,драматический
refuse,мусор
solve,решать
theme,тема
loving,любящий
properly,правильно
dragon,Дракон
mostly,по большей части
chuck,патрон
directly,напрямую
surface,поверхность
false,ЛОЖЬ
cast,бросать
junior,младший
hunting,охота
silent,тихий
thou,ты
egg,яйцо
germany,Германия
punch,ударить кулаком
africa,Африка
woke,проснулся
intelligence,интеллект
borrow,занимать
winning,победа
falls,падает
popular,популярный
escaped,сбежал
witch,ведьма
convinced,убежденный
warn,предупреждать
announcer,диктор
champagne,шампанское
dust,пыль
kyle,Кайл
someday,когда-нибудь
fallen,упал
stranger,незнакомец
presence,присутствие
tear,рвать
st.,ул.
internet,Интернет
monsieur,месье
therefore,поэтому
technology,технологии
tires,шины
toast,тост
wise,мудрый
clark,Кларк
americans,американцы
notes,примечания
smoking,курение
hank,Хэнк
ls,лс
april,апрель
wolf,волк
precious,драгоценный
rooms,номера
coast,побережье
treated,обработанный
material,материал
released,выпущенный
uniform,униформа
hated,ненавидел
considered,обдуманный
rice,рис
exchange,обмен
steps,шаги
blake,Блейк
convince,убеждать
beast,зверь
cow,корова
files,файлы
signs,знаки
drag,тащить
cab,такси
hung,висела
carried,унесенный
ordinary,обычный
successful,успешный
eve,канун
mistakes,ошибки
houses,дома
chattering,болтовня
brains,мозги
japan,Япония
creature,существо
fourth,четвертый
separate,отдельный
cleaning,уборка
california,Калифорния
lf,лф
ll,я буду
shift,сдвиг
elizabeth,Элизабет
chicago,Чикаго
exact,точный
karen,Карен
goal,цель
expert,эксперт
served,служил
direct,прямой
score,счет
row,ряд
marks,Метки
twenty,двадцать
receive,получать
series,ряд
section,раздел
pilot,пилот
jackson,Джексон
darkness,темнота
thy,твой
sale,распродажа
destiny,судьба
cure,излечивать
spoken,разговорный
armed,вооруженный
rare,редкий
helen,Хелен
grade,оценка
juice,сок
wide,широкий
tower,башня
solution,решение
schedule,расписание
explosion,взрыв
wheel,колесо
cigarette,сигарета
julie,Джули
fruit,фрукты
blew,взорвали
victor,Виктор
talks,переговоры
sacrifice,жертва
range,диапазон
button,кнопка
reports,отчеты
prisoner,заключенный
pie,пирог
effort,усилие
youth,молодость
pot,горшок
eaten,съеденный
taylor,Тейлор
knees,колени
garage,гараж
parking,стоянка
ambulance,машина скорой помощи
staring,глядя
chances,шансы
circumstances,обстоятельства
sin,грех
gordon,Гордон
progress,прогресс
unusual,необычный
county,округ
stairs,лестница
campaign,кампания
vision,зрение
reporter,репортер
equipment,оборудование
moments,моменты
joey,Джоуи
mass,масса
alien,чужак
trapped,в ловушке
helps,помогает
route,маршрут
defend,защищать
trace,след
nasty,противный
tests,тесты
magazine,журнал
rocks,горные породы
dump,свалка
rude,грубый
searching,идет поиск
clue,зацепка
connected,связанный
amen,аминь
pushed,толкнул
merry,веселый
zone,зона
senior,старшая
closing,закрытие
freeze,заморозить
emperor,император
incident,инцидент
snake,змея
mexico,Мексика
lily,Лили
actor,актер
newspaper,газета
sentence,предложение
greg,Грег
leading,ведущий
friendly,дружелюбно
jones,Джонс
chosen,выбранный
engaged,помолвлен
julia,Юлия
charming,очаровательный
mustn,должен
anger,злость
spending,расходы
learning,обучение
spy,шпион
sharp,острый
shadow,тень
warrant,ордер
elevator,лифт
kingdom,Королевство
ricky,Рикки
jamie,Джейми
squad,отряд
shoulder,плечо
wave,волна
amanda,Аманда
highness,Высочество
kinds,виды
fishing,ловит рыбу
sometime,когда-то
attitude,отношение
sucks,отстой
negative,отрицательный
screen,экран
workers,рабочие
bored,скучающий
cameras,камеры
similar,похожий
understanding,понимание
beeps,гудит
chain,цепь
bull,бык
gasping,задыхаясь
fully,в полной мере
robin,Робин
collect,собирать
gorgeous,великолепный
morgan,Морган
passion,страсть
writer,писатель
empire,империя
international,Международный
curse,проклинать
hire,нанимать
bastards,ублюдки
puts,ставит
leads,ведет
id,идентификатор
blows,удары
sons,сыновья
estate,имущество
customers,клиенты
maggie,Мэгги
gunshot,выстрел
i-,я-
device,устройство
troops,войска
hug,обнимать
design,дизайн
movement,движение
thunder,гром
object,объект
loser,неудачник
pen,ручка
sobbing,рыдая
politics,политика
despite,несмотря на
alcohol,алкоголь
climb,взбираться
clients,клиенты
conference,конференция
provide,предоставлять
marty,Марти
seek,искать
witnesses,свидетели
earn,зарабатывать
trash,мусор
valley,долина
fashion,мода
howard,Говард
episode,эпизод
prize,приз
previously,ранее
sports,виды спорта
wanting,желая
debt,долг
wishes,пожелания
hitler,Гитлер
wire,проволока
thee,ты
circle,круг
approach,подход
stock,запас
facts,факты
remembered,вспомнил
percent,процент
normally,обычно
tail,хвост
joined,присоединился
education,образование
bravo,Браво
library,библиотека
rape,изнасилование
wings,крылья
growling,рычание
thrown,брошенный
tank,бак
exhales,выдыхает
authority,власть
current,текущий
failure,отказ
nightmare,кошмар
hitting,удар
glory,слава
knocked,постучал
studying,изучение
barry,Барри
agency,агентство
apple,яблоко
border,граница
rope,веревка
duck,утка
reputation,репутация
confidence,уверенность
yard,площадка
beloved,возлюбленный
lack,недостаток
actual,действительный
skills,навыки
films,фильмы
mental,умственный
salt,соль
flesh,плоть
anne,Энн
secure,безопасный
highly,высоко
federal,федеральный
sand,песок
emotional,эмоциональный
setting,параметр
nothin,ничего
senator,сенатор
services,услуги
robbery,грабеж
hates,ненавидит
fed,кормили
reward,награда
theater,театр
johnson,Джонсон
commit,совершить
patrick,Патрик
entirely,полностью
extraordinary,необыкновенный
ships,корабли
opposite,противоположный
parties,стороны
stands,стоит
terry,Терри
chat,чат
events,события
mummy,Мама
bay,залив
slip,соскальзывать
disappointed,расстроенный
settled,поселился
begins,начинается
andrew,Андрей
alert,тревога
detail,деталь
pink,розовый
fellas,ребята
accepted,принял
background,фон
garbage,мусор
panic,паника
minds,умы
belt,пояс
blowing,дует
hollywood,Голливуд
agreement,соглашение
jackie,Джеки
pushing,толкая
ability,способность
tiger,тигр
whispering,шепот
culture,культура
saint,святой
jesse,Джесси
task,задача
solid,твердый
doll,кукла
intend,намереваться
district,округ
pa,год
gee,ну и дела
custody,попечение
ignore,игнорировать
naturally,естественно
useful,полезный
attempt,пытаться
abandoned,заброшенный
cutting,резка
kissed,поцеловал
guarantee,гарантия
barking,лай
gather,собирать
policy,политика
u.s.,нас.
violent,жестокий
maid,служанка
embarrassing,смущающий
childhood,детство
wasting,тратить
bow,поклон
chick,цыпленок
sara,Сара
disaster,катастрофа
revolution,революция
online,В сети
f,ж
demon,демон
heavily,тяжело
coincidence,совпадение
perform,выполнять
thin,тонкий
terrific,потрясающий
mac,Мак
crown,корона
identity,личность
virgin,девственник
impressive,впечатляющий
windows,окна
no-one,никто
potential,потенциал
guitar,гитара
committee,комитет
dozen,дюжина
delivery,доставка
advance,продвигать
quietly,тихо
stan,Стэн
teaching,преподавание
hunter,охотник
latest,последний
hurting,больно
swing,качать
capital,капитал
counting,подсчет
drew,Дрю
dirt,грязь
whistle,свист
marie,Мари
hits,хиты
doug,Даг
deny,отрицать
urgent,срочный
threatened,угрожал
behavior,поведение
molly,Молли
mixed,смешанный
stays,остается
assure,гарантировать
subtitles,субтитры
explanation,объяснение
wins,побеждает
unique,уникальный
chasing,погоня
billion,миллиард
duke,герцог
production,производство
slave,раб
agents,агенты
carol,Кэрол
lets,Давайте
cruel,жестокий
mask,маска
sally,Салли
behave,вести себя
bury,хоронить
massive,массивный
pathetic,жалкий
species,разновидность
approaching,приближается
jo,Джо
loan,заем
struggle,борьба
dish,блюдо
trusted,доверенный
jumped,прыгнул
firing,стрельба
channel,канал
abby,Эбби
stopping,остановка
asks,спрашивает
jean,Жан
swimming,плавание
daily,ежедневно
basement,подвал
linda,Линда
quarter,четверть
erm,эм
bound,граница
navy,военно-морской
article,статья
guide,гид
accused,обвиняемый
transfer,передача
guts,кишки
quality,качество
fella,парень
roman,Римский
greater,больший
damned,проклятый
couch,диван
cheer,радость
vegas,Вегас
shoe,туфля
title,заголовок
shy,застенчивый
punishment,наказание
los,Лос
clicks,щелчки
closet,шкаф
bye-bye,пока-пока
fever,высокая температура
coward,трус
flash,вспышка
impressed,впечатленный
bruce,Брюс
siren,сирена
prisoners,заключенные
sides,стороны
bowl,чаша
katie,Кэти
supply,поставлять
sensitive,чувствительный
hopefully,с надеждой
rolling,прокатка
roy,Рой
dollar,доллар
tone,тон
voices,голоса
g,г
cheating,мошенничество
confess,признаваться
demand,требовать
museum,музей
unknown,неизвестный
drama,драма
suspicious,подозрительный
adult,взрослый
todd,Тодд
frightened,испуганный
warned,предупредил
steady,устойчивый
kills,убивает
crossed,пересек
lou,Лу
particularly,особенно
sandwich,бутерброд
laws,законы
joint,соединение
bullets,пули
package,упаковка
trained,обученный
thursday,четверг
boots,сапоги
possibility,возможность
albert,Альберт
civil,гражданский
june,июнь
germans,немцы
baseball,бейсбол
express,выражать
miserable,убогий
tuesday,вторник
parker,Паркер
lion,лев
joseph,Джозеф
refused,отказался
shine,светить
assault,атаковать
hong,Хун
jokes,шутки
breaks,перерывы
argue,спорить
you-,ты-
trail,тащить
option,вариант
recall,отзывать
mighty,могущественный
collection,коллекция
oliver,Оливер
wilson,Уилсон
accent,акцент
believes,верит
decisions,решения
embarrassed,смущенный
mobile,мобильный
customer,клиент
terribly,ужасно
sec,сек
charity,благотворительность
considering,учитывая
pussy,киска
donna,Донна
protecting,защита
flag,флаг
kidnapped,похищен
italy,Италия
balance,баланс
creatures,существа
nuclear,ядерный
wallet,кошелек
shout,кричать
vincent,Винсент
entered,вошел
impression,впечатление
angela,Анжела
jay,Джей
degrees,степени
favour,услуга
reaction,реакция
network,сеть
jessica,Джессика
version,версия
concert,концерт
gear,механизм
singer,певец
diamond,алмаз
defeat,поражение
steven,Стивен
lane,переулок
blast,взрыв
wounded,раненый
anytime,в любой момент
partners,партнеры
ages,возраст
charlotte,Шарлотта
ceremony,церемония
league,лига
bars,бары
orange,апельсин
specific,специфический
conditions,условия
plastic,пластик
crisis,кризис
fifth,пятый
term,срок
self,себя
offering,предложение
bud,бутон
suffered,пострадал
reported,сообщил
commissioner,комиссар
rip,рвать
mysterious,загадочный
entrance,вход
messed,испорченный
tunnel,туннель
designed,разработанный
neighbor,сосед
aboard,на борту
sweat,пот
justin,Джастин
ghosts,призраки
crimes,преступления
costs,расходы
deserves,заслуживает
dreaming,сновидение
bust,бюст
el,эль
teddy,Тедди
kong,Конг
messages,Сообщения
enjoying,наслаждаясь
afterwards,после
comfort,комфорт
mason,каменщик
surrender,сдаваться
gym,спортзал
kitty,Китти
crush,раздавить
yup,ага
arranged,согласованный
suits,костюмы
pee,пописать
stress,стресс
cave,пещера
wing,крыло
jordan,Иордания
arrange,договариваться
comrade,товарищ
noble,благородный
tricks,трюки
betty,Бетти
launch,запуск
legend,легенда
mix,смешивание
golf,гольф
imagination,воображение
fox,лиса
kissing,поцелуи
butter,масло
tax,налог
gross,валовой
edward,Эдвард
texas,Техас
insist,настаивать
marcus,Маркус
classic,классический
selfish,эгоистичный
skull,череп
frankie,Фрэнки
shown,показано
bat,летучая мышь
survived,выжил
print,Распечатать
champion,чемпион
bills,счета
therapy,терапия
lifetime,продолжительность жизни
throughout,через
a.m.,являюсь.
nathan,Натан
toward,к
sauce,соус
experiment,эксперимент
margaret,Маргарет
describe,описывать
ross,Росс
grass,трава
cheat,изменять
attend,посещать
homework,домашнее задание
lewis,Льюис
betrayed,предал
servant,слуга
cap,кепка
tyler,Тайлер
bible,Библия
practically,практически
catherine,Екатерина
steel,сталь
wipe,вытирать
burns,ожоги
j,дж
generation,поколение
cabin,кабина
financial,финансовый
industry,промышленность
bond,связь
sheep,овца
scientists,ученые
beaten,избитый
heck,черт
deck,палуба
fans,поклонники
script,сценарий
brand,бренд
degree,степень
painful,болезненный
coughing,кашляющий
religion,религия
cats,кошки
stephen,Стивен
influence,влияние
fuel,топливо
drawing,рисунок
uh-oh,ох-ох
rabbit,кролик
exercise,упражнение
attractive,привлекательный
touching,трогательный
virus,вирус
realise,понимать
torture,пытка
blessed,благословенный
plain,простой
rebecca,Ребекка
recent,недавний
barbara,Барбара
footsteps,шаги
sacred,священный
removed,удаленный
pretending,притворяясь
wasted,потраченный
jewish,еврейский
goodnight,Спокойной ночи
robot,робот
crystal,кристалл
confirm,подтверждать
lad,парень
mile,миля
division,разделение
scratch,царапать
reminds,напоминает
walks,прогулки
ending,окончание
russia,россия
contest,конкурс
valuable,ценный
distant,далекий
dumped,брошенный
motion,движение
electricity,электричество
centre,центр
murders,убийства
tina,Тина
jeremy,Джереми
seal,тюлень
standard,стандартный
ellen,Эллен
wore,носил
surrounded,окруженный
struck,ударил
inform,поставить в известность
gentle,нежный
status,положение дел
purse,кошелек
prints,принты
players,игроки
charged,заряженный
begging,попрошайничество
delivered,доставленный
kenny,Кенни
buck,доллар
nina,Нина
construction,строительство
confirmed,подтвержденный
confession,признание
trigger,курок
cells,клетки
frankly,честно говоря
ali,Али
exit,Выход
response,ответ
cancel,отмена
argument,аргумент
principal,главный
turkey,Турция
lucas,Лукас
clinic,клиника
greetings,привет
neighbors,соседи
vice,порок
toy,игрушка
hannah,Ханна
everyday,каждый день
generous,щедрый
gain,прирост
idiots,идиоты
holly,Холли
enjoyed,наслаждались
jungle,джунгли
link,связь
underground,метро
smiling,улыбается
mistress,госпожа
teams,команды
product,продукт
beef,говядина
whispers,шепот
religious,религиозный
presents,Представляет
identify,идентифицировать
chip,чип
chffffff,чфффффф
surveillance,наблюдение
carlos,Карлос
vampire,вампир
routine,рутина
uses,использует
michelle,Мишель
underneath,под
systems,системы
temperature,температура
waves,волны
tribe,племя
brad,Брэд
deputy,депутат
sophie,Софи
headquarters,главное управление
equal,равный
phones,телефоны
ken,Кен
reckon,считать
related,связанный
incredibly,невероятно
chill,холод
spit,плевать
tracks,треки
oscar,Оскар
makeup,составить
bug,ошибка
sounded,звучало
spirits,духи
nerve,нерв
divorced,в разводе
stake,ставка
port,порт
doorbell,дверной звонок
worries,заботы
nephew,племянник
miller,мельник
units,единицы
just-,только-
proceed,продолжить
landing,приземление
traitor,предатель
outfit,одежда
chloe,Хлоя
bail,залог
fields,поля
patience,терпение
recording,запись
foolish,глупый
loaded,загружен
tokyo,Токио
davis,Дэвис
costume,костюм
wayne,Уэйн
injured,раненый
somethin,что-то
ian,Йен
pet,домашний питомец
cage,клетка
digging,копать
spain,Испания
seats,сиденья
awkward,неуклюжий
cleaned,очищенный
pattern,шаблон
filthy,грязный
visiting,посещение
jews,евреи
answering,отвечая
concentrate,сконцентрироваться
someplace,где-то
citizens,граждане
aim,цель
nancy,Нэнси
affairs,дела
thick,толстый
sport,спорт
basic,базовый
electric,электрический
pleasant,приятный
cliff,утес
nail,ноготь
russell,Рассел
environment,среда
western,западный
average,средний
ease,простота
raped,изнасиловал
interrupt,прерывать
judy,Джуди
satisfied,удовлетворен
beep,звуковой сигнал
starving,изголодавшийся
documents,документы
anniversary,годовщина
beth,Бет
election,выборы
warrior,воин
r,р
forth,вперед
fetch,принести
banks,банки
placed,размещен
timing,время
stones,камни
complex,сложный
frozen,замороженный
replace,заменять
prayer,молитва
skip,пропускать
angeles,Анжелес
guilt,вина
tune,настраивать
woo,вуу
actions,действия
conscience,совесть
officially,официально
martha,Марта
machines,машины
smaller,меньше
determined,определенный
blown,взорванный
hail,град
unhappy,несчастный
booth,стенд
pour,налить
berlin,Берлин
cleared,очищен
packed,упакованный
wrap,сворачивать
randy,Рэнди
behalf,от имени
reasonable,разумный
trunk,ствол
homes,дома
festival,фестиваль
tradition,традиция
cigarettes,сигареты
le,ле
beside,рядом
harvey,Харви
motive,мотив
beings,существа
bishop,епископ
dealer,дилер
defendant,ответчик
backup,резервное копирование
wounds,раны
ouch,ой
ann,Анна
nearby,рядом
drank,пил
effects,последствия
jonathan,Джонатан
dennis,Деннис
benefit,выгода
adventure,приключение
p,п
territory,территория
ve,ве
apology,извинение
dylan,Дилан
unlike,В отличие от
owns,владеет
boxes,коробки
thus,таким образом
clay,глина
developed,развитый
busted,разорен
pipe,трубка
gray,серый
no.,нет.
goods,товары
favourite,любимый
salad,салат
loyal,лояльный
atmosphere,атмосфера
eva,ева
freaking,чертовски
dropping,падение
strangers,незнакомцы
mouse,мышь
downtown,центр города
francisco,Франциско
heroes,герои
pit,яма
rotten,сгнивший
paradise,рай
meantime,тем временем
jess,Джесс
organization,организация
hills,холмы
exam,экзамен
cock,петух
fairy,сказочный
earl,граф
comment,комментарий
activity,активность
frame,рамка
knight,рыцарь
testing,тестирование
habit,привычка
shelter,приют
flow,поток
jennifer,Дженнифер
holes,дыры
prevent,предотвращать
anthony,Энтони
lend,одалживать
cooper,бондарь
figures,цифры
boston,Бостон
sample,образец
strip,полоска
landed,высадился
buzzing,жужжащий
monk,монах
slightly,немного
produce,производить
annoying,раздражающий
judgment,суждение
laundry,прачечная
ron,Рон
lousy,паршивый
souls,души
existence,существование
belly,живот
tries,пытается
foster,взращивать
returning,возвращение
answered,ответил
ward,сторожить
plants,растения
actress,актриса
chairman,председатель
individual,индивидуальный
hopes,надеется
tattoo,татуировка
fence,изгородь
sink,раковина
punk,панк
confident,уверенный
yay,ура
mistaken,ошибочный
limit,предел
bothering,беспокоит
st,ул.
uncomfortable,неудобный
wednesday,среда
gifts,дары
policeman,полицейский
na,нет
precisely,именно так
lawyers,юристы
greek,греческий
merely,просто
criminals,преступники
underwear,нижнее белье
hoped,надеялся
earned,заработано
reveal,раскрывать
appeared,появился
derek,Дерек
heavens,небеса
personality,личность
batman,Бэтмен
virginia,Вирджиния
wives,жены
colour,цвет
worker,рабочий
pope,Папа Римский
instructions,инструкции
intelligent,разумный
worrying,тревожный
vince,Винс
comin,иду
cried,плакала
traveling,путешествие
bells,колокольчики
x,Икс
impact,влияние
robbed,ограбили
relief,облегчение
host,хозяин
footage,отснятый материал
odds,шансы
patrol,патруль
circus,цирк
mud,грязь
captured,захвачен
lessons,уроки
occasion,повод
sets,наборы
pulse,пульс
ad,объявление
invented,изобретенный
diamonds,бриллианты
matthew,Мэтью
auntie,тетушка
cloud,облако
francis,Фрэнсис
angels,ангелы
hers,ее
classes,занятия
mm-hm,мм-хм
signature,подпись
complain,жаловаться
blah,бла
monitor,монитор
options,параметры
claims,претензии
flies,летит
pat,погладить
britain,Британия
hid,спрятал
wailing,плач
listened,слушал
countries,страны
vic,Вик
yell,кричать
rats,крысы
wondered,задавались вопросом
smooth,гладкий
resist,сопротивляться
companies,компании
fantasy,фантазия
passport,заграничный пасспорт
pitch,подача
hammer,молоток
homicide,убийство
casey,Кейси
holds,держит
flew,летал
jacob,Джейкоб
noon,полдень
helicopter,вертолет
dishes,тарелки
spin,вращаться
charm,очарование
slap,шлепок
apply,применять
fools,дураки
screeching,визг
discover,обнаружить
previous,предыдущий
kit,набор
authorities,власти
moaning,стоны
photograph,фотография
sales,продажи
fifty,пятьдесят
mickey,Микки
beneath,под
farewell,прощание
clouds,облака
slipped,поскользнулся
represent,представлять
deaf,глухой
facing,лицом к лицу
offense,преступление
citizen,гражданин
clown,клоун
snap,щелчок
messing,возиться
hood,капюшон
twelve,двенадцать
interests,интересы
cheated,обманул
liz,Лиз
informed,информированный
humanity,человечество
producer,режиссер
technically,технически
accounts,Счета
extreme,крайний
gettin,получаешь
cia,ЦРУ
ii,ii
pays,платит
profile,профиль
oxygen,кислород
jeez,Господи
gene,ген
shed,сбрасывать
minor,незначительный
ex,бывший
theatre,театр
scientific,научный
lovers,любовники
chaos,хаос
l.a.,Лос-Анджелес
rocket,ракета
math,математика
stubborn,упрямый
august,август
oi,ой
chips,чипсы
intense,интенсивный
grey,серый
talkin,разговариваю
terrorist,террорист
angle,угол
invitation,приглашение
gus,Гас
gambling,играть в азартные игры
respond,отвечать
thirty,тридцать
procedure,процедура
absolute,абсолютный
investigate,расследовать
tragedy,трагедия
stable,стабильный
session,сессия
capture,захватывать
marrying,женитьба
ripped,разорванный
attacks,нападения
stretch,потягиваться
bush,куст
dates,даты
unable,не могущий
gates,ворота
mars,Марс
artists,художники
increase,увеличивать
tastes,вкусы
cared,заботился
bottles,бутылки
highest,наибольший
whirring,жужжание
meanwhile,тем временем
nate,Нейт
grabbed,схватил
pigs,свиньи
chop,нарезать
olivia,Оливия
wheels,колеса
shocked,в шоке
reverend,преподобный
commercial,коммерческий
escort,эскорт
engagement,обручение
corpse,труп
louise,Луиза
worthy,достойный
scale,шкала
beats,бьет
williams,Уильямс
threatening,угрожающий
exists,существует
academy,академия
acts,действует
hop,прыгать
judges,судьи
furniture,мебель
shared,общий
ralph,Ральф
consequences,последствия
engineer,инженер
schools,школы
softly,мягко
bombs,бомбы
caroline,Кэролайн
shark,акула
transport,транспорт
population,Население
succeed,преуспевать
creepy,противный
sneak,красться
studies,исследования
destruction,разрушение
keith,Кит
protected,защищенный
monsters,монстры
joining,присоединение
punished,наказан
lightning,молния
malcolm,Малькольм
shell,оболочка
fascinating,очаровательный
chamber,камера
ethan,Итан
romance,романтика
instance,пример
jumping,прыжки
groups,группы
exhausted,измученный
testify,свидетельствовать
studied,изучал
walker,ходок
pin,приколоть
imagined,воображаемый
drill,сверлить
investigating,расследование
ye,вы
experienced,опытный
elena,Елена
necklace,ожерелье
loyalty,верность
junk,хлам
cole,Коул
cries,плачет
stanley,Стэнли
rita,Рита
southern,южный
blocks,блоки
emotions,эмоции
begun,началось
maya,майя
liver,печень
serving,сервировка
matches,Матчи
surgeon,врач хирург
granted,предоставленный
jazz,джаз
july,июль
supplies,запасы
deeper,Глубже
typical,типичный
kicking,пинать
obey,подчиняться
dancer,танцор
remote,удаленный
daughters,дочери
moron,придурок
latin,латинский
teachers,учителя
toby,Тоби
sandy,Сэнди
dragged,тащили
strategy,стратегия
parent,родитель
jin,Джин
album,альбом
compared,в сравнении
rubbish,мусор
helpful,полезный
powder,пудра
sync,синхронизировать
bum,бездельничать
passes,проходит
joan,Джоан
fort,форт
choices,выбор
alley,переулок
supper,ужин
penis,пенис
alibi,алиби
sammy,Сэмми
pole,полюс
coke,кокс
scientist,ученый
fighter,боец
highway,шоссе
blade,лезвие
alpha,альфа
diet,диета
liquor,ликер
jet,реактивный самолет
widow,вдова
liberty,свобода
philip,Филип
moral,моральный
carrie,Кэрри
award,награда
grief,горе
thirsty,испытывающий жажду
ashley,Эшли
random,случайный
suspects,подозреваемые
intention,намерение
julian,Джулиан
active,активный
tools,инструменты
driven,управляемый
trauma,травма
headache,головная боль
safely,безопасно
alexander,Александр
knee,колено
lads,ребята
novel,роман
conversations,разговоры
waters,воды
lookin,заглянуть
invisible,невидимый
internal,внутренний
peaceful,мирный
humming,напевать
washed,промытый
drives,диски
talented,талантливый
li,ли
aid,помогать
elephant,слон
troubles,проблемы
core,основной
serial,сериал
painted,окрашенный
divine,божественный
jam,варенье
goat,козел
opera,опера
thieves,воры
guessing,угадывание
objection,возражение
whiskey,виски
florida,Флорида
resistance,сопротивление
dressing,одевание
attached,прикрепил
aaron,Аарон
brief,краткий
punish,наказывать
eternal,вечный
lois,Лоис
required,необходимый
victoria,Виктория
fabulous,поразительнй
twins,двойняшки
characters,персонажи
cooked,приготовленный
ln,Ин
ruth,Рут
dreamed,мечтал
arts,искусство
naughty,непослушный
stabbed,зарезан
tend,иметь тенденцию
diane,Диана
tap,кран
soap,мыло
locker,шкафчик
development,разработка
images,изображений
prick,уколоть
global,Глобальный
string,нить
bitter,горький
sharing,делиться
corn,кукуруза
craig,Крейг
fits,подходит
tent,палатка
forms,формы
votes,голоса
harold,Гарольд
propose,предлагать
monica,Моника
constantly,постоянно
granny,бабушка
nicely,мило
nerves,нервы
arguing,спорить
abuse,злоупотреблять
relatives,родственники
survival,выживание
gloves,перчатки
tracking,отслеживание
zoe,Зои
u,ты
